FILE_NAME,SIMPLE,BITPIX,NAXIS,NAXIS1,NAXIS2,DATE-OBS,OBJECT,UT,UT-END,UT-STR,HST,HST-END,HST-STR,MJD,MJD-END,MJD-STR,FRAMEID,EXPTIME,DATA-TYP,OBSERVAT,TELESCOP,INSTRUME,TIMESYS,PROP-ID,OBSERVER,OBS-ALOC,OBS-MOD,RADESYS,LONPOLE,RA,DEC,EQUINOX,TELFOCUS,FOC-VAL,AIRMASS,ZD,AZIMUTH,ALTITUDE,FOC-POS,AUTOGUID,M2-TYPE,OUT-HUM,OUT-PRS,OUT-TMP,OUT-WND,U_CAMERA,U_AQTINT,U_AQNCYC,U_FLCOFF,U_AQSDEL,U_AQDTIM,U_HWPANG,U_NLOOPS,U_LOOPIT,U_NPOLST,U_PLSTIT,U_ORGDIR,U_OGFNAM,U_OGFNUM,U_EMGAIN,U_QWP1,U_QWP2,U_FILTER,U_MASK,U_MANGLE,U_AOHWP,D_SADC,D_SADCA1,D_SADCA2,D_SADCDC,D_SADCFC,D_SADCMD,D_SADCPA,D_SADCP,D_SADCRA,D_SADCST,D_BS1,D_BS1P,D_BS1S,D_BS2,D_BS2P,D_BS2S,D_ENSHUT,D_BNCHI,D_BNCHO,D_BNCTI,D_BNCTO,D_IMRANG,D_IMRDEC,D_IMRMOD,D_IMRPAD,D_IMRPAP,D_IMRRA,D_IMR,D_ADFG,D_DMCMTX,D_DMGAIN,D_HDFG,D_HTTG,D_LDFG,D_LOOP,D_LTTG,D_PSUBG,D_STTG,D_TTCMTX,D_TTGAIN,D_WTTG,DATE,U_FLCSTT,OG_FRMID,DETECTOR,DETGAIN,RET-ANG1,RETPLAT1,U_FLCANG,PA-STR,PA-END,PA,PARANG,WCSAXES,CRPIX1,CRPIX2,PC1_1,PC1_2,PC2_1,PC2_2,CDELT1,CDELT2,CUNIT1,CUNIT2,CTYPE1,CTYPE2,CRVAL1,CRVAL2,LATPOLE,MJDREF,COL_METH,MAX_X,MAX_Y,MAX_PIXEL_VALUE,R_15_TOTAL_COUNTS,NORM_I,DOUBLE_DIFFERENCE,DOUBLE_SUM,Q,U,Q_sem,U_sem,SCIENCE_REGION_MAX_RADIUS,APPENDIX_D_APERTURE_RADIUS,BACKGROUND_ANNULUS_INNER_RADIUS,BACKGROUND_ANNULUS_OUTER_RADIUS,BACKGROUND_ANNULUS_WIDTH,R_36_RAW_TOTAL_COUNTS,R_36_TOTAL_COUNTS,R_36_ANNULUS_R_36_TO_41_BACKGROUND_PER_PIXEL,R_36_ANNULUS_R_36_TO_41_BACKGROUND_TOTAL_COUNTS,R_36_TOTAL_COUNTS_NOISE,R_36_ANNULUS_R_36_TO_41_SNR,DOUBLE_DIFFERENCE_ERRS,APPENDIX_D_Q_OVER_I,APPENDIX_D_U_OVER_I
VDATA20220128A_00001032_calib_collapsed.fits,True,-32,2,128,128,2022-01-28,ETACRV,11:32:04.525,11:32:26.191,11:31:42.858,01:32:04.530,01:32:26.197,01:31:42.863,59607.4806015,59607.480856,59607.480347,VTMP00001032,21.245,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,12:32:04.015,-16:11:50.9,2000.0,NS_IR,-0.12,1.765,55.56803,127.54013,34.43197,Nasmyth-IR,OFF,IR,26.7,621.6,270.75,5.9,1.0,5000.0,4250.0,0.0,100000.0,5000.0,0.0,100.0,1.0,4.0,1.0,/mnt/data/20220128/,etaCrv_01_20220128_675-50_EmptySlot_0,0,30.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,189.01995,187.0226,-16:11:46,1.0,ADI,-39.0,163.025,12:32:04.2,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,10.4,0.0,81.71725,-16:11:45.61,ADI,89.998,-39.0,12:32:04.230,TRACK,0.0,ao188cmtx.oct,12.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T11:32:32,1,VMPA00017181,iXon Ultra 897 - VAMPIRES 1.0,30.0,0.0,HWP(NIR),45,-51.00348963869362,-50.87537551091349,-50.93950816162588,-129.5395081616259,2,64.5,64.5,-0.63661014081951,-0.77118579383036,0.77118579383036,-0.63661014081951,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,188.01672916667,-16.197472222222,-16.197472222222,0.0,median,58.0,63.0,8895.0,744491.2203883086,"(0.029492633483366573, 0.0)",0.014129039846575443,-0.1382028510078791,0.0,0.0,0,0,58.0,36,36,41,5,1458504.0,984303.0,117.0,474201.0,1400.184032097805,702.9811635012596,0.0006806155263992704,,
VDATA20220128A_00001033_calib_collapsed.fits,True,-32,2,128,128,2022-01-28,ETACRV,11:32:04.525,11:32:26.191,11:31:42.858,01:32:04.530,01:32:26.197,01:31:42.863,59607.4806015,59607.480856,59607.480347,VTMP00001033,21.245,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,12:32:04.015,-16:11:50.9,2000.0,NS_IR,-0.12,1.765,55.56803,127.54013,34.43197,Nasmyth-IR,OFF,IR,26.7,621.6,270.75,5.9,1.0,5000.0,4250.0,0.0,100000.0,5000.0,0.0,100.0,1.0,4.0,1.0,/mnt/data/20220128/,etaCrv_01_20220128_675-50_EmptySlot_0,0,30.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,189.01995,187.0226,-16:11:46,1.0,ADI,-39.0,163.025,12:32:04.2,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,10.4,0.0,81.71725,-16:11:45.61,ADI,89.998,-39.0,12:32:04.230,TRACK,0.0,ao188cmtx.oct,12.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T11:32:32,2,VMPA00017181,iXon Ultra 897 - VAMPIRES 1.0,30.0,0.0,HWP(NIR),45,-51.00348963869362,-50.87537551091349,-50.93950816162588,-129.5395081616259,2,64.5,64.5,-0.63661014081951,-0.77118579383036,0.77118579383036,-0.63661014081951,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,188.01672916667,-16.197472222222,-16.197472222222,0.0,median,58.0,63.0,8366.0,714240.870243351,0,0.0,0.0,0.0,0.0,0,0,58.0,36,36,41,5,1398424.0,944488.0,112.0,453936.0,1363.8691952829151,692.506292587743,0.0,,
VDATA20220128A_00001034_calib_collapsed.fits,True,-32,2,128,128,2022-01-28,ETACRV,11:32:04.525,11:32:26.191,11:31:42.858,01:32:04.530,01:32:26.197,01:31:42.863,59607.4806015,59607.480856,59607.480347,VTMP00001034,21.245,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,12:32:04.015,-16:11:50.9,2000.0,NS_IR,-0.12,1.765,55.56803,127.54013,34.43197,Nasmyth-IR,OFF,IR,26.7,621.6,270.75,5.9,2.0,5000.0,4250.0,0.0,100000.0,5000.0,0.0,100.0,1.0,4.0,1.0,/mnt/data/20220128/,etaCrv_01_20220128_675-50_EmptySlot_0,0,30.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,189.01995,187.0226,-16:11:46,1.0,ADI,-39.0,163.025,12:32:04.2,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,10.4,0.0,81.71725,-16:11:45.61,ADI,89.998,-39.0,12:32:04.230,TRACK,0.0,ao188cmtx.oct,12.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T11:32:37,1,VMPA00017183,iXon Ultra 897 - VAMPIRES 2.0,30.0,0.0,HWP(NIR),45,-51.00348963869362,-50.87537551091349,-50.93950816162588,-129.5395081616259,2,64.5,64.5,-0.63661014081951,-0.77118579383036,0.77118579383036,-0.63661014081951,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,188.01672916667,-16.197472222222,-16.197472222222,0.0,median,59.0,62.0,11106.0,951969.3533448488,0,0.0,0.0,0.0,0.0,0,0,59.0,36,36,41,5,1865890.0,1261993.0,149.0,603897.0,1656.422587558803,761.8786470787602,0.0,,
VDATA20220128A_00001035_calib_collapsed.fits,True,-32,2,128,128,2022-01-28,ETACRV,11:32:04.525,11:32:26.191,11:31:42.858,01:32:04.530,01:32:26.197,01:31:42.863,59607.4806015,59607.480856,59607.480347,VTMP00001035,21.245,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,12:32:04.015,-16:11:50.9,2000.0,NS_IR,-0.12,1.765,55.56803,127.54013,34.43197,Nasmyth-IR,OFF,IR,26.7,621.6,270.75,5.9,2.0,5000.0,4250.0,0.0,100000.0,5000.0,0.0,100.0,1.0,4.0,1.0,/mnt/data/20220128/,etaCrv_01_20220128_675-50_EmptySlot_0,0,30.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,189.01995,187.0226,-16:11:46,1.0,ADI,-39.0,163.025,12:32:04.2,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,10.4,0.0,81.71725,-16:11:45.61,ADI,89.998,-39.0,12:32:04.230,TRACK,0.0,ao188cmtx.oct,12.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T11:32:37,2,VMPA00017183,iXon Ultra 897 - VAMPIRES 2.0,30.0,0.0,HWP(NIR),45,-51.00348963869362,-50.87537551091349,-50.93950816162588,-129.5395081616259,2,64.5,64.5,-0.63661014081951,-0.77118579383036,0.77118579383036,-0.63661014081951,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,188.01672916667,-16.197472222222,-16.197472222222,0.0,median,60.0,62.0,11130.0,969878.8325042973,0,0.0,0.0,0.0,0.0,0,0,60.0,36,36,41,5,1897425.5,1285422.5,151.0,612003.0,1648.4763438052173,779.763995298124,0.0,,
VDATA20220128A_00001036_calib_collapsed.fits,True,-32,2,128,128,2022-01-28,ETACRV,11:35:10.532,11:35:32.212,11:34:48.851,01:35:10.538,01:35:32.219,01:34:48.857,59607.4827545,59607.483009,59607.4825,VTMP00001036,21.245,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,12:32:04.007,-16:11:51.08,2000.0,NS_IR,-0.12,1.74,54.99092,128.11418,35.00908,Nasmyth-IR,OFF,IR,26.6,621.5,270.75,5.9,1.0,5000.0,4250.0,0.0,100000.0,5000.0,45.0,100.0,1.0,4.0,2.0,/mnt/data/20220128/,etaCrv_01_20220128_675-50_EmptySlot_0,1,30.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,187.68896,185.68904,-16:11:46,1.0,ADI,-39.0,163.025,12:32:04.2,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,10.4,0.0,82.00788,-16:11:45.61,ADI,90.543,-39.0,12:32:04.230,TRACK,0.0,ao188cmtx.oct,12.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T11:35:38,1,VMPA00017185,iXon Ultra 897 - VAMPIRES 1.0,30.0,45.0,HWP(NIR),45,-50.45737436937558,-50.32667200441219,-50.39210056664232,-128.9921005666423,2,64.5,64.5,-0.62921323908398,-0.77723271917839,0.77723271917839,-0.62921323908398,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,188.01669583333,-16.197522222222,-16.197522222222,0.0,median,58.0,64.0,6648.0,635529.3428481659,"(-0.004510499117752753, 0.0)",-0.0029756575075851727,-0.1305397763299575,0.0,0.0,0,0,58.0,36,36,41,5,1321496.0,851348.0,116.0,470148.0,1393.2370806753422,611.0575233809648,0.0007783824871633245,,
VDATA20220128A_00001037_calib_collapsed.fits,True,-32,2,128,128,2022-01-28,ETACRV,11:35:10.532,11:35:32.212,11:34:48.851,01:35:10.538,01:35:32.219,01:34:48.857,59607.4827545,59607.483009,59607.4825,VTMP00001037,21.245,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,12:32:04.007,-16:11:51.08,2000.0,NS_IR,-0.12,1.74,54.99092,128.11418,35.00908,Nasmyth-IR,OFF,IR,26.6,621.5,270.75,5.9,1.0,5000.0,4250.0,0.0,100000.0,5000.0,45.0,100.0,1.0,4.0,2.0,/mnt/data/20220128/,etaCrv_01_20220128_675-50_EmptySlot_0,1,30.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,187.68896,185.68904,-16:11:46,1.0,ADI,-39.0,163.025,12:32:04.2,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,10.4,0.0,82.00788,-16:11:45.61,ADI,90.543,-39.0,12:32:04.230,TRACK,0.0,ao188cmtx.oct,12.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T11:35:38,2,VMPA00017185,iXon Ultra 897 - VAMPIRES 1.0,30.0,45.0,HWP(NIR),45,-50.45737436937558,-50.32667200441219,-50.39210056664232,-128.9921005666423,2,64.5,64.5,-0.62921323908398,-0.77723271917839,0.77723271917839,-0.62921323908398,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,188.01669583333,-16.197522222222,-16.197522222222,0.0,median,58.0,64.0,6689.0,630677.3604110307,0,0.0,0.0,0.0,0.0,0,0,58.0,36,36,41,5,1311646.0,845551.0,115.0,466095.0,1386.8910284405008,609.6737109553486,0.0,,
VDATA20220128A_00001038_calib_collapsed.fits,True,-32,2,128,128,2022-01-28,ETACRV,11:35:10.532,11:35:32.212,11:34:48.851,01:35:10.538,01:35:32.219,01:34:48.857,59607.4827545,59607.483009,59607.4825,VTMP00001038,21.245,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,12:32:04.007,-16:11:51.08,2000.0,NS_IR,-0.12,1.74,54.99092,128.11418,35.00908,Nasmyth-IR,OFF,IR,26.6,621.5,270.75,5.9,2.0,5000.0,4250.0,0.0,100000.0,5000.0,45.0,100.0,1.0,4.0,2.0,/mnt/data/20220128/,etaCrv_01_20220128_675-50_EmptySlot_0,1,30.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,187.68896,185.68904,-16:11:46,1.0,ADI,-39.0,163.025,12:32:04.2,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,10.4,0.0,82.00788,-16:11:45.61,ADI,90.543,-39.0,12:32:04.230,TRACK,0.0,ao188cmtx.oct,12.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T11:35:43,1,VMPA00017187,iXon Ultra 897 - VAMPIRES 2.0,30.0,45.0,HWP(NIR),45,-50.45737436937558,-50.32667200441219,-50.39210056664232,-128.9921005666423,2,64.5,64.5,-0.62921323908398,-0.77723271917839,0.77723271917839,-0.62921323908398,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,188.01669583333,-16.197522222222,-16.197522222222,0.0,median,60.0,63.0,8566.0,830521.7986448209,0,0.0,0.0,0.0,0.0,0,0,60.0,36,36,41,5,1723929.0,1111926.0,151.0,612003.0,1648.575798555788,674.4767216491273,0.0,,
VDATA20220128A_00001039_calib_collapsed.fits,True,-32,2,128,128,2022-01-28,ETACRV,11:35:10.532,11:35:32.212,11:34:48.851,01:35:10.538,01:35:32.219,01:34:48.857,59607.4827545,59607.483009,59607.4825,VTMP00001039,21.245,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,12:32:04.007,-16:11:51.08,2000.0,NS_IR,-0.12,1.74,54.99092,128.11418,35.00908,Nasmyth-IR,OFF,IR,26.6,621.5,270.75,5.9,2.0,5000.0,4250.0,0.0,100000.0,5000.0,45.0,100.0,1.0,4.0,2.0,/mnt/data/20220128/,etaCrv_01_20220128_675-50_EmptySlot_0,1,30.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,187.68896,185.68904,-16:11:46,1.0,ADI,-39.0,163.025,12:32:04.2,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,10.4,0.0,82.00788,-16:11:45.61,ADI,90.543,-39.0,12:32:04.230,TRACK,0.0,ao188cmtx.oct,12.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T11:35:43,2,VMPA00017187,iXon Ultra 897 - VAMPIRES 2.0,30.0,45.0,HWP(NIR),45,-50.45737436937558,-50.32667200441219,-50.39210056664232,-128.9921005666423,2,64.5,64.5,-0.62921323908398,-0.77723271917839,0.77723271917839,-0.62921323908398,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,188.01669583333,-16.197522222222,-16.197522222222,0.0,median,60.0,63.0,8541.0,816651.4765122305,0,0.0,0.0,0.0,0.0,0,0,60.0,36,36,41,5,1694358.0,1094514.0,148.0,599844.0,1627.591608296244,672.4745903216672,0.0,,
VDATA20220128A_00001040_calib_collapsed.fits,True,-32,2,128,128,2022-01-28,ETACRV,11:36:14.464,11:36:36.147,11:35:52.780,01:36:14.470,01:36:36.154,01:35:52.787,59607.4834955,59607.48375,59607.483241,VTMP00001040,21.245,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,12:32:04.013,-16:11:50.94,2000.0,NS_IR,-0.12,1.731,54.79327,128.31422,35.20673,Nasmyth-IR,OFF,IR,26.6,621.5,270.75,5.8,1.0,5000.0,4250.0,0.0,100000.0,5000.0,22.5,100.0,1.0,4.0,3.0,/mnt/data/20220128/,etaCrv_01_20220128_675-50_EmptySlot_0,2,30.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,187.24105,185.24902,-16:11:46,1.0,ADI,-39.0,163.025,12:32:04.2,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,10.4,0.0,82.10674,-16:11:45.61,ADI,90.733,-39.0,12:32:04.230,TRACK,0.0,ao188cmtx.oct,12.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T11:36:41,1,VMPA00017189,iXon Ultra 897 - VAMPIRES 1.0,30.0,22.5,HWP(NIR),45,-50.26693177889928,-50.13532474915978,-50.20120626758227,-128.8012062675823,2,64.5,64.5,-0.6266202188935,-0.77932477265506,0.77932477265506,-0.6266202188935,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,188.01672083333,-16.197483333333,-16.197483333333,0.0,median,58.0,63.0,5511.0,571158.5745760978,"(0.02904572395408235, 0.0)",0.012723327002498612,-0.1371677563970425,0.0,0.0,0,0,58.0,36,36,41,5,1267298.0,780938.0,120.0,486360.0,1338.3563372068243,583.5052880085977,0.0008240750398604667,,
VDATA20220128A_00001041_calib_collapsed.fits,True,-32,2,128,128,2022-01-28,ETACRV,11:36:14.464,11:36:36.147,11:35:52.780,01:36:14.470,01:36:36.154,01:35:52.787,59607.4834955,59607.48375,59607.483241,VTMP00001041,21.245,ACQUISITION,NAOJ,Subaru,VAMPIRES,UTC,o21156,"""[Summit] Millar-Blancher, Zhang [Hilo] Guyon, Deo, Vievard, Ah""",Observation,IMAG_POL,ICRS,180.0,12:32:04.013,-16:11:50.94,2000.0,NS_IR,-0.12,1.731,54.79327,128.31422,35.20673,Nasmyth-IR,OFF,IR,26.6,621.5,270.75,5.8,1.0,5000.0,4250.0,0.0,100000.0,5000.0,22.5,100.0,1.0,4.0,3.0,/mnt/data/20220128/,etaCrv_01_20220128_675-50_EmptySlot_0,2,30.0,152.0,165.0,675-50,EmptySlot,1.0,T,IN,187.24105,185.24902,-16:11:46,1.0,ADI,-39.0,163.025,12:32:04.2,SYNC,SCEXAO,348.72,35708928.0,MIRROR,152.63,15629312.0,OPEN,13.0,100.0,10.4,0.0,82.10674,-16:11:45.61,ADI,90.733,-39.0,12:32:04.230,TRACK,0.0,ao188cmtx.oct,12.0,1.0,1.0,0.0,ON,0.0,0.01,0.0,ao188ttctrl.oct,0.001,0.0,2022-01-28T11:36:41,2,VMPA00017189,iXon Ultra 897 - VAMPIRES 1.0,30.0,22.5,HWP(NIR),45,-50.26693177889928,-50.13532474915978,-50.20120626758227,-128.8012062675823,2,64.5,64.5,-0.6266202188935,-0.77932477265506,0.77932477265506,-0.6266202188935,-1.7333333333333e-06,1.7333333333333e-06,deg,deg,RA---TAN,DEC--TAN,188.01672083333,-16.197483333333,-16.197483333333,0.0,median,58.0,63.0,5266.0,547325.091743431,0,0.0,0.0,0.0,0.0,0,0,58.0,36,36,41,5,1213995.0,747900.0,115.0,466095.0,1303.8624560648323,573.6034476038415,0.0,,
